catalogNumber	Title	bibliographicCitation	identifier	creator
940620036	A new flagellated dispersion stage in paraphysoderma sedebokerense, a pathogen of Haematococcus pluvialis	J. Appl. Phycol. 28, 1553-1558 (2016)	10.1007/s10811-015-0700-8	Strittmatter,M. Guerra,T. Silva,J. Gachon,C.M.
635010111	A new isolate of Amoeboaphelidium protococcarum, and Amoeboaphelidium occidentale, a new species in phylum Aphelida (Opisthosporidia)	Mycologia. 2015 May-Jun;107(3):522-31.	10.3852/14-064	Letcher,P.M. McBride,R.C.
1988230216	A New Marine Species of Miracula (Oomycota) Parasitic to Minidiscus sp. in Iceland	Mycobiology 49 (4), 355-362 (2021)	10.1080/12298093.2021.1952813	Buaya,A.T. Scholz,B. Thines,M.
1199937575	A New Parasitic Chytrid, Staurastromyces oculus (Rhizophydiales, Staurastromycetaceae fam. nov.), Infecting the Freshwater Desmid Staurastrum sp	Protist 168 (4), 392-407 (2017)	10.1016/j.protis.2017.05.001	Van den Wyngaert,S. Seto,K. Rojas-Jimenez,K. Kagami,M. Grossart,H.P.
1199937576	A New Parasitic Chytrid, Staurastromyces oculus (Rhizophydiales, Staurastromycetaceae fam. nov.), Infecting the Freshwater Desmid Staurastrum sp	Protist 168 (4), 392-407 (2017)	10.1016/j.protis.2017.05.001	Van den Wyngaert,S. Seto,K. Rojas-Jimenez,K. Kagami,M. Grossart,H.P.
1199937577	A New Parasitic Chytrid, Staurastromyces oculus (Rhizophydiales, Staurastromycetaceae fam. nov.), Infecting the Freshwater Desmid Staurastrum sp	Protist 168 (4), 392-407 (2017)	10.1016/j.protis.2017.05.001	Van den Wyngaert,S. Seto,K. Rojas-Jimenez,K. Kagami,M. Grossart,H.P.
1216629687	A New Parasitic Chytrid, Staurastromyces oculus (Rhizophydiales, Staurastromycetaceae fam. nov.), Infecting the Freshwater Desmid Staurastrum sp	Protist 168 (4), 392-407 (2017)	10.1016/j.protis.2017.05.001	Van den Wyngaert,S. Seto,K. Rojas-Jimenez,K. Kagami,M. Grossart,H.P.
1216629688	A New Parasitic Chytrid, Staurastromyces oculus (Rhizophydiales, Staurastromycetaceae fam. nov.), Infecting the Freshwater Desmid Staurastrum sp	Protist 168 (4), 392-407 (2017)	10.1016/j.protis.2017.05.001	Van den Wyngaert,S. Seto,K. Rojas-Jimenez,K. Kagami,M. Grossart,H.P.
1216629689	A New Parasitic Chytrid, Staurastromyces oculus (Rhizophydiales, Staurastromycetaceae fam. nov.), Infecting the Freshwater Desmid Staurastrum sp	Protist 168 (4), 392-407 (2017)	10.1016/j.protis.2017.05.001	Van den Wyngaert,S. Seto,K. Rojas-Jimenez,K. Kagami,M. Grossart,H.P.
1216629690	A New Parasitic Chytrid, Staurastromyces oculus (Rhizophydiales, Staurastromycetaceae fam. nov.), Infecting the Freshwater Desmid Staurastrum sp	Protist 168 (4), 392-407 (2017)	10.1016/j.protis.2017.05.001	Van den Wyngaert,S. Seto,K. Rojas-Jimenez,K. Kagami,M. Grossart,H.P.
1216629691	A New Parasitic Chytrid, Staurastromyces oculus (Rhizophydiales, Staurastromycetaceae fam. nov.), Infecting the Freshwater Desmid Staurastrum sp	Protist 168 (4), 392-407 (2017)	10.1016/j.protis.2017.05.001	Van den Wyngaert,S. Seto,K. Rojas-Jimenez,K. Kagami,M. Grossart,H.P.
1216629692	A New Parasitic Chytrid, Staurastromyces oculus (Rhizophydiales, Staurastromycetaceae fam. nov.), Infecting the Freshwater Desmid Staurastrum sp	Protist 168 (4), 392-407 (2017)	10.1016/j.protis.2017.05.001	Van den Wyngaert,S. Seto,K. Rojas-Jimenez,K. Kagami,M. Grossart,H.P.
1216629693	A New Parasitic Chytrid, Staurastromyces oculus (Rhizophydiales, Staurastromycetaceae fam. nov.), Infecting the Freshwater Desmid Staurastrum sp	Protist 168 (4), 392-407 (2017)	10.1016/j.protis.2017.05.001	Van den Wyngaert,S. Seto,K. Rojas-Jimenez,K. Kagami,M. Grossart,H.P.
2160988628	A novel parasite strain of Amoebophrya sp. infecting to the toxic dinoflagellate Alexandrium catenella (Group I) and its effect on the host bloom in Osaka Bay, Japan	Harmful Algae 110, 102123 (2021)	10.1016/j.hal.2021.102117	Nishitani,G. Yamamoto,K. Nakajima,M. Shibata,Y. Sato-Okoshi,W. Yamaguchi,M.
2160988629	A novel parasite strain of Amoebophrya sp. infecting to the toxic dinoflagellate Alexandrium catenella (Group I) and its effect on the host bloom in Osaka Bay, Japan	Harmful Algae 110, 102123 (2021)	10.1016/j.hal.2021.102117	Nishitani,G. Yamamoto,K. Nakajima,M. Shibata,Y. Sato-Okoshi,W. Yamaguchi,M.
2160988630	A novel parasite strain of Amoebophrya sp. infecting to the toxic dinoflagellate Alexandrium catenella (Group I) and its effect on the host bloom in Osaka Bay, Japan	Harmful Algae 110, 102123 (2021)	10.1016/j.hal.2021.102117	Nishitani,G. Yamamoto,K. Nakajima,M. Shibata,Y. Sato-Okoshi,W. Yamaguchi,M.
2160988632	A novel parasite strain of Amoebophrya sp. infecting to the toxic dinoflagellate Alexandrium catenella (Group I) and its effect on the host bloom in Osaka Bay, Japan	Harmful Algae 110, 102123 (2021)	10.1016/j.hal.2021.102117	Nishitani,G. Yamamoto,K. Nakajima,M. Shibata,Y. Sato-Okoshi,W. Yamaguchi,M.
2160988633	A novel parasite strain of Amoebophrya sp. infecting to the toxic dinoflagellate Alexandrium catenella (Group I) and its effect on the host bloom in Osaka Bay, Japan	Harmful Algae 110, 102123 (2021)	10.1016/j.hal.2021.102117	Nishitani,G. Yamamoto,K. Nakajima,M. Shibata,Y. Sato-Okoshi,W. Yamaguchi,M.
2160988634	A novel parasite strain of Amoebophrya sp. infecting to the toxic dinoflagellate Alexandrium catenella (Group I) and its effect on the host bloom in Osaka Bay, Japan	Harmful Algae 110, 102123 (2021)	10.1016/j.hal.2021.102117	Nishitani,G. Yamamoto,K. Nakajima,M. Shibata,Y. Sato-Okoshi,W. Yamaguchi,M.
2160988635	A novel parasite strain of Amoebophrya sp. infecting to the toxic dinoflagellate Alexandrium catenella (Group I) and its effect on the host bloom in Osaka Bay, Japan	Harmful Algae 110, 102123 (2021)	10.1016/j.hal.2021.102117	Nishitani,G. Yamamoto,K. Nakajima,M. Shibata,Y. Sato-Okoshi,W. Yamaguchi,M.
2160988636	A novel parasite strain of Amoebophrya sp. infecting to the toxic dinoflagellate Alexandrium catenella (Group I) and its effect on the host bloom in Osaka Bay, Japan	Harmful Algae 110, 102123 (2021)	10.1016/j.hal.2021.102117	Nishitani,G. Yamamoto,K. Nakajima,M. Shibata,Y. Sato-Okoshi,W. Yamaguchi,M.
2074013926	A Novel Parasitoid of Marine Dinoflagellates, Pararosarium dinoexitiosum gen. et sp. nov. (Perkinsozoa, Alveolata), Showing Characteristic Beaded Sporocytes	Front Microbiol 12, 748092 (2021)	10.3389/fmicb.2021.748092	Jeon,B.S. Park,M.G.
2074013927	A Novel Parasitoid of Marine Dinoflagellates, Pararosarium dinoexitiosum gen. et sp. nov. (Perkinsozoa, Alveolata), Showing Characteristic Beaded Sporocytes	Front Microbiol 12, 748092 (2021)	10.3389/fmicb.2021.748092	Jeon,B.S. Park,M.G.
2074013930	A Novel Parasitoid of Marine Dinoflagellates, Pararosarium dinoexitiosum gen. et sp. nov. (Perkinsozoa, Alveolata), Showing Characteristic Beaded Sporocytes	Front Microbiol 12, 748092 (2021)	10.3389/fmicb.2021.748092	Jeon,B.S. Park,M.G.
2074179778	A Novel Parasitoid of Marine Dinoflagellates, Pararosarium dinoexitiosum gen. et sp. nov. (Perkinsozoa, Alveolata), Showing Characteristic Beaded Sporocytes	Front Microbiol 12, 748092 (2021)	10.3389/fmicb.2021.748092	Jeon,B.S. Park,M.G.
2074179779	A Novel Parasitoid of Marine Dinoflagellates, Pararosarium dinoexitiosum gen. et sp. nov. (Perkinsozoa, Alveolata), Showing Characteristic Beaded Sporocytes	Front Microbiol 12, 748092 (2021)	10.3389/fmicb.2021.748092	Jeon,B.S. Park,M.G.
2074179780	A Novel Parasitoid of Marine Dinoflagellates, Pararosarium dinoexitiosum gen. et sp. nov. (Perkinsozoa, Alveolata), Showing Characteristic Beaded Sporocytes	Front Microbiol 12, 748092 (2021)	10.3389/fmicb.2021.748092	Jeon,B.S. Park,M.G.
408478900	A Novel Phytomyxean Parasite Associated with Galls on the Bull-Kelp Durvillaea antarctica (Chamisso) Hariot	PLoS ONE 7 (9), E45358 (2012)	10.1371/journal.pone.0045358	Goecke,F. Wiese,J. Nunez,A. Labes,A. Imhoff,J.F. Neuhauser,S.
15088525	A phylogenetic analysis of the SSU rRNA from members of the Plasmodiophorida and Phagomyxida	Protist 152 (1), 43-51 (2001)	https://doi.org/10.1078/1434-4610-00042	Bulman,S.R. Kuhn,S.F. Marshall,J.W. Schnepf,E.
15088526	A phylogenetic analysis of the SSU rRNA from members of the Plasmodiophorida and Phagomyxida	Protist 152 (1), 43-51 (2001)	https://doi.org/10.1078/1434-4610-00042	Bulman,S.R. Kuhn,S.F. Marshall,J.W. Schnepf,E.
353256012	A quantitative real-time polymerase chain reaction assay for the seagrass pathogen Labyrinthula zosterae	Mol Ecol Resour 11 (6), 1076-1081 (2011)	10.1111/j.1755-0998.2011.03051.x	Bergmann,N. Fricke,B. Schmidt,M.C. Tams,V. Beining,K. Schwitte,H. Boettcher,A.A. Martin,D.L. Bockelmann,A.C. Reusch,T.B. Rauch,G.
353256013	A quantitative real-time polymerase chain reaction assay for the seagrass pathogen Labyrinthula zosterae	Mol Ecol Resour 11 (6), 1076-1081 (2011)	10.1111/j.1755-0998.2011.03051.x	Bergmann,N. Fricke,B. Schmidt,M.C. Tams,V. Beining,K. Schwitte,H. Boettcher,A.A. Martin,D.L. Bockelmann,A.C. Reusch,T.B. Rauch,G.
353256014	A quantitative real-time polymerase chain reaction assay for the seagrass pathogen Labyrinthula zosterae	Mol Ecol Resour 11 (6), 1076-1081 (2011)	10.1111/j.1755-0998.2011.03051.x	Bergmann,N. Fricke,B. Schmidt,M.C. Tams,V. Beining,K. Schwitte,H. Boettcher,A.A. Martin,D.L. Bockelmann,A.C. Reusch,T.B. Rauch,G.
353256015	A quantitative real-time polymerase chain reaction assay for the seagrass pathogen Labyrinthula zosterae	Mol Ecol Resour 11 (6), 1076-1081 (2011)	10.1111/j.1755-0998.2011.03051.x	Bergmann,N. Fricke,B. Schmidt,M.C. Tams,V. Beining,K. Schwitte,H. Boettcher,A.A. Martin,D.L. Bockelmann,A.C. Reusch,T.B. Rauch,G.
353256016	A quantitative real-time polymerase chain reaction assay for the seagrass pathogen Labyrinthula zosterae	Mol Ecol Resour 11 (6), 1076-1081 (2011)	10.1111/j.1755-0998.2011.03051.x	Bergmann,N. Fricke,B. Schmidt,M.C. Tams,V. Beining,K. Schwitte,H. Boettcher,A.A. Martin,D.L. Bockelmann,A.C. Reusch,T.B. Rauch,G.
1730680409	A Widely Distributed Thraustochytrid Parasite of Diatoms Isolated from the Arctic Represents a gen. and sp. nov.	J. Eukaryot. Microbl. 2020, 67, 480–490	doi:10.1111/jeu.12796	Brandon T. Hassett
578002897	Amoebophrya spp. from the Bloom-forming Dinoflagellate Cochlodinium polykrikoides: Parasites not Nested in the 'Amoebophrya ceratii Complex'	J. Eukaryot. Microbiol. 61 (2), 173-181 (2014)	10.1111/jeu.12097	Kim,S. Park,M.G.
578002898	Amoebophrya spp. from the Bloom-forming Dinoflagellate Cochlodinium polykrikoides: Parasites not Nested in the 'Amoebophrya ceratii Complex'	J. Eukaryot. Microbiol. 61 (2), 173-181 (2014)	10.1111/jeu.12097	Kim,S. Park,M.G.
374427154	Amoebophryidae infect harmful dinoflagellates in a southern Chilean fjord dominated by diatoms	Aquat. Microb. Ecol. 66, 183-197 (2012)	10.3354/ame01567	Alves-De-Souza,C. Varela,D. Iriarte,J.L. Gonzalez,H.E. Guillou,L.
374427155	Amoebophryidae infect harmful dinoflagellates in a southern Chilean fjord dominated by diatoms	Aquat. Microb. Ecol. 66, 183-197 (2012)	10.3354/ame01567	Alves-De-Souza,C. Varela,D. Iriarte,J.L. Gonzalez,H.E. Guillou,L.
374427156	Amoebophryidae infect harmful dinoflagellates in a southern Chilean fjord dominated by diatoms	Aquat. Microb. Ecol. 66, 183-197 (2012)	10.3354/ame01567	Alves-De-Souza,C. Varela,D. Iriarte,J.L. Gonzalez,H.E. Guillou,L.
374427157	Amoebophryidae infect harmful dinoflagellates in a southern Chilean fjord dominated by diatoms	Aquat. Microb. Ecol. 66, 183-197 (2012)	10.3354/ame01567	Alves-De-Souza,C. Varela,D. Iriarte,J.L. Gonzalez,H.E. Guillou,L.
374427158	Amoebophryidae infect harmful dinoflagellates in a southern Chilean fjord dominated by diatoms	Aquat. Microb. Ecol. 66, 183-197 (2012)	10.3354/ame01567	Alves-De-Souza,C. Varela,D. Iriarte,J.L. Gonzalez,H.E. Guillou,L.
374427159	Amoebophryidae infect harmful dinoflagellates in a southern Chilean fjord dominated by diatoms	Aquat. Microb. Ecol. 66, 183-197 (2012)	10.3354/ame01567	Alves-De-Souza,C. Varela,D. Iriarte,J.L. Gonzalez,H.E. Guillou,L.
374427160	Amoebophryidae infect harmful dinoflagellates in a southern Chilean fjord dominated by diatoms	Aquat. Microb. Ecol. 66, 183-197 (2012)	10.3354/ame01567	Alves-De-Souza,C. Varela,D. Iriarte,J.L. Gonzalez,H.E. Guillou,L.
374427161	Amoebophryidae infect harmful dinoflagellates in a southern Chilean fjord dominated by diatoms	Aquat. Microb. Ecol. 66, 183-197 (2012)	10.3354/ame01567	Alves-De-Souza,C. Varela,D. Iriarte,J.L. Gonzalez,H.E. Guillou,L.
374427162	Amoebophryidae infect harmful dinoflagellates in a southern Chilean fjord dominated by diatoms	Aquat. Microb. Ecol. 66, 183-197 (2012)	10.3354/ame01567	Alves-De-Souza,C. Varela,D. Iriarte,J.L. Gonzalez,H.E. Guillou,L.
374427163	Amoebophryidae infect harmful dinoflagellates in a southern Chilean fjord dominated by diatoms	Aquat. Microb. Ecol. 66, 183-197 (2012)	10.3354/ame01567	Alves-De-Souza,C. Varela,D. Iriarte,J.L. Gonzalez,H.E. Guillou,L.
374427164	Amoebophryidae infect harmful dinoflagellates in a southern Chilean fjord dominated by diatoms	Aquat. Microb. Ecol. 66, 183-197 (2012)	10.3354/ame01567	Alves-De-Souza,C. Varela,D. Iriarte,J.L. Gonzalez,H.E. Guillou,L.
374427165	Amoebophryidae infect harmful dinoflagellates in a southern Chilean fjord dominated by diatoms	Aquat. Microb. Ecol. 66, 183-197 (2012)	10.3354/ame01567	Alves-De-Souza,C. Varela,D. Iriarte,J.L. Gonzalez,H.E. Guillou,L.
374427166	Amoebophryidae infect harmful dinoflagellates in a southern Chilean fjord dominated by diatoms	Aquat. Microb. Ecol. 66, 183-197 (2012)	10.3354/ame01567	Alves-De-Souza,C. Varela,D. Iriarte,J.L. Gonzalez,H.E. Guillou,L.
374713547	Amoebophryidae infect harmful dinoflagellates in a southern Chilean fjord dominated by diatoms	Aquat. Microb. Ecol. 66, 183-197 (2012)	10.3354/ame01567	Alves-de-Souza,C. Varela,D. Iriarte,J.L. Gonzalez,H.E. Guillou,L.
2250715801	Aphelidium parallelum, sp. nov., a new aphelid parasitic on selenastracean green algae	Mycologia 114 (3), 544-555 (2022)	10.1080/00275514.2022.2039487	Seto,K. Nakada,T. Tanabe,Y. Yoshida,M. Kagami,M.
2250715802	Aphelidium parallelum, sp. nov., a new aphelid parasitic on selenastracean green algae	Mycologia 114 (3), 544-555 (2022)	10.1080/00275514.2022.2039487	Seto,K. Nakada,T. Tanabe,Y. Yoshida,M. Kagami,M.
2250715803	Aphelidium parallelum, sp. nov., a new aphelid parasitic on selenastracean green algae	Mycologia 114 (3), 544-555 (2022)	10.1080/00275514.2022.2039487	Seto,K. Nakada,T. Tanabe,Y. Yoshida,M. Kagami,M.
1791062461	Application of surfactants for controlling destructive fungus contamination in mass cultivation of Haematococcus pluvialis	Bioresour. Technol. 317, 124025 (2020)	10.1016/j.biortech.2020.124025	Ding,Y. Zhang,A. Wen,X. Wang,Z. Wang,K. Geng,Y. Li,Y.
1804242274	Application of surfactants for controlling destructive fungus contamination in mass cultivation of Haematococcus pluvialis	Bioresour. Technol. 317, 124025 (2020)	10.1016/j.biortech.2020.124025	Ding,Y. Zhang,A. Wen,X. Wang,Z. Wang,K. Geng,Y. Li,Y.
1858831707	Application of surfactants for controlling destructive fungus contamination in mass cultivation of Haematococcus pluvialis	Bioresour. Technol. 317, 124025 (2020)	10.1016/j.biortech.2020.124025	Ding,Y. Zhang,A. Wen,X. Wang,Z. Wang,K. Geng,Y. Li,Y.
38260271	Assessing the utility of ITS1-5.8S-ITS2 rDNA sequence data in Chytrid fungal systematics and ecology	Unpublished	NA	Chambers,J.G. IV Powell,M.J. Churchill,P.F. Longcore,J.E.
367057850	ATCC Mycology Authentication Project	Unpublished	NA	Houseknecht,J.L. Suh,S.-O. Zhou,J.
373879672	ATCC Mycology Authentication Project	Unpublished	NA	Houseknecht,J.L. Suh,S.-O. Zhou,J.
936452798	ATCC Mycology Authentication Project	Unpublished	NA	Houseknecht,J.L. Suh,S.-O. Zhou,J.
151358229	Bacteriolytic activity and growth of marine isolates of labyrinthulids on dead bacterial cells	Fish. Sci. 73, 1286-1294 (2007)	10.1111/j.1444-2906.2007.01467.x	Wahid,M.I. Yoshikawa,T. Sakata,T.
151358230	Bacteriolytic activity and growth of marine isolates of labyrinthulids on dead bacterial cells	Fish. Sci. 73, 1286-1294 (2007)	10.1111/j.1444-2906.2007.01467.x	Wahid,M.I. Yoshikawa,T. Sakata,T.
151358231	Bacteriolytic activity and growth of marine isolates of labyrinthulids on dead bacterial cells	Fish. Sci. 73, 1286-1294 (2007)	10.1111/j.1444-2906.2007.01467.x	Wahid,M.I. Yoshikawa,T. Sakata,T.
970385026	Characterization of a new chytrid species parasitic on the dinoflagellate, Peridinium gatunense	Mycologia, 116 (4), 2016	10.3852/15-197	Leshem T, Letcher PM, Powell MJ, Sukenik A.
970385027	Characterization of a new chytrid species parasitic on the dinoflagellate, Peridinium gatunense	Mycologia, 116 (4), 2016	10.3852/15-197	Leshem T, Letcher PM, Powell MJ, Sukenik A.
970385028	Characterization of a new chytrid species parasitic on the dinoflagellate, Peridinium gatunense	Mycologia, 116 (4), 2016	10.3852/15-197	Leshem T, Letcher PM, Powell MJ, Sukenik A.
970385029	Characterization of a new chytrid species parasitic on the dinoflagellate, Peridinium gatunense	Mycologia, 116 (4), 2016	10.3852/15-197	Leshem,T. Letcher,P.M. Powell,M.J. Sukenik,A.
970385030	Characterization of a new chytrid species parasitic on the dinoflagellate, Peridinium gatunense	Mycologia, 116 (4), 2016	10.3852/15-197	Leshem,T. Letcher,P.M. Powell,M.J. Sukenik,A.
440656328	Characterization of Amoeboaphelidium protococcarum, an Algal Parasite New to the Cryptomycota Isolated from an Outdoor Algal Pond Used for the Production of Biofuel	PLoS ONE 8 (2), E56232 (2013)	10.1371/journal.pone.0056232	Letcher,P.M. Lopez,S. Schmieder,R. Lee,P.A. Behnke,C. Powell,M.J. McBride,R.C.
1430492305	Characterization of Pythium chondricola associated with red rot disease of Pyropia yezoensis (Ueda) (Bangiales, Rhodophyta) from Lianyungang, China.	J. Ocean. Limnol. 37, 1102–1112 (2019)	https://link.springer.com/article/10.1007/s00343-019-8075-3	Qiu,L. Tang,L. Mao,Y. Mo,Z.
1198314175	Characterization of Rhizophydium scenedesmi, an epibiotic parasite of the oleaginous microalga Graesiella sp. WBG-1	Journal of Applied Phycology 30, 819–830, (2018)	https://doi.org/10.1007/s10811-017-1302-4	Ding,Y. Peng,X. Wang,Z. Li,Y.
1674953756	Characterization of the Mycobiome of the Seagrass, Zostera marina, Reveals Putative Associations With Marine Chytrids	Front Microbiol 10, 2476 (2019)	10.3389/fmicb.2019.02476	Ettinger,C.L. Eisen,J.A.
1674953757	Characterization of the Mycobiome of the Seagrass, Zostera marina, Reveals Putative Associations With Marine Chytrids	Front Microbiol 10, 2476 (2019)	10.3389/fmicb.2019.02476	Ettinger,C.L. Eisen,J.A.
1236765626	Characterization of the parasitic dinoflagellate Amoebophrya sp. infecting Akashiwo sanguinea in coastal water of China	J. Eukaryot. Microbiol. 65, 448-457 (2018)	10.1111/jeu.12489	Chen,T. Liu,Y. Song,S. Li,C.
575396656	Chytrid Diversity of Tuscaloosa County, Alabama	Southeast. Nat. 12 (4), 666-683 (2013)	https://doi.org/10.1656/058.012.0407	Davis,W.J. Letcher,P.M. Powell,M.J.
575396676	Chytrid Diversity of Tuscaloosa County, Alabama	Southeast. Nat. 12 (4), 666-683 (2013)	https://doi.org/10.1656/058.012.0407	Davis,W.J. Letcher,P.M. Powell,M.J.
575396689	Chytrid Diversity of Tuscaloosa County, Alabama	Southeast. Nat. 12 (4), 666-683 (2013)	https://doi.org/10.1656/058.012.0407	Davis,W.J. Letcher,P.M. Powell,M.J.
575396717	Chytrid Diversity of Tuscaloosa County, Alabama	Southeast. Nat. 12 (4), 666-683 (2013)	https://doi.org/10.1656/058.012.0407	Davis,W.J. Letcher,P.M. Powell,M.J.
575396723	Chytrid Diversity of Tuscaloosa County, Alabama	Southeast. Nat. 12 (4), 666-683 (2013)	https://doi.org/10.1656/058.012.0407	Davis,W.J. Letcher,P.M. Powell,M.J.
575396724	Chytrid Diversity of Tuscaloosa County, Alabama	Southeast. Nat. 12 (4), 666-683 (2013)	https://doi.org/10.1656/058.012.0407	Davis,W.J. Letcher,P.M. Powell,M.J.
575396731	Chytrid Diversity of Tuscaloosa County, Alabama	Southeast. Nat. 12 (4), 666-683 (2013)	https://doi.org/10.1656/058.012.0407	Davis,W.J. Letcher,P.M. Powell,M.J.
1666220530	Chytrid infecting the bloom-forming marine diatom Skeletonema sp.: Morphology, phylogeny and distribution of a novel species within the Rhizophydiales	Fungal Biol 123 (6), 471-480 (2019)	10.1016/j.funbio.2019.04.004	Garvetto,A. Badis,Y. Perrineau,M.M. Rad-Menendez,C. Bresnan,E. Gachon,C.M.M.
1137304030	Chytridiomycete Polyphagus parasiticus: molecular phylogeny supports the erection of a new chytridiomycete order	Mikol Fitopatol 50 (6), 362-366 (2016)	NA	Karpov,S.A. Lopez-Garcia,P. Mamkaeva,M.A. Vishnyakov,A.E. Moreira,D.
194241334	Cladochytriales--a new order in Chytridiomycota	Mycol. Res. 113 (PT 4), 498-507 (2009)	https://doi.org/10.1016/j.mycres.2008.12.004	Mozley-Standridge,S.E. Letcher,P.M. Longcore,J.E. Porter,D. Simmons,D.R.
194241357	Cladochytriales--a new order in Chytridiomycota	Mycol. Res. 113 (PT 4), 498-507 (2009)	https://doi.org/10.1016/j.mycres.2008.12.004	Mozley-Standridge,S.E. Letcher,P.M. Longcore,J.E. Porter,D. Simmons,D.R.
194241361	Cladochytriales--a new order in Chytridiomycota	Mycol. Res. 113 (PT 4), 498-507 (2009)	https://doi.org/10.1016/j.mycres.2008.12.004	Mozley-Standridge,S.E. Letcher,P.M. Longcore,J.E. Porter,D. Simmons,D.R.
194241386	Cladochytriales--a new order in Chytridiomycota	Mycol. Res. 113 (PT 4), 498-507 (2009)	https://doi.org/10.1016/j.mycres.2008.12.004	Mozley-Standridge,S.E. Letcher,P.M. Longcore,J.E. Porter,D. Simmons,D.R.
